month,dow,hour,bike_trips,bike_dur_tot,NO2,PM10,PM2_5,NOx,O3,Veloc,Temp
1,4,5,704,8528,20.256410256410255,15.774193548387096,9.690625,26.105263157894736,29.142857142857142,1.45,4.925
1,4,6,2156,114352,31.5,18.161290322580644,9.440625,49.972972972972975,19.37037037037037,1.46,4.70625
1,4,7,6580,164464,47.486486486486484,25.666666666666668,10.45483870967742,106.25,8.846153846153847,1.5526315789473684,4.78125
1,4,8,10044,201260,56.18421052631579,42.806451612903224,12.878125,157.48648648648648,5.884615384615385,1.2550000000000001,4.926666666666666
1,4,9,7592,115668,54.861111111111114,53.13793103448276,14.706666666666667,143.11428571428573,10.4,1.355,6.614285714285714
1,4,10,7304,338384,43.0,36.42857142857143,13.463333333333333,94.05882352941177,21.56,1.625,8.925
1,4,11,7584,461948,35.0,32.62068965517241,13.273333333333333,68.97058823529412,33.666666666666664,1.2650000000000001,11.46
1,4,12,8020,363380,29.789473684210527,26.6,10.748387096774193,54.69444444444444,43.92,1.25,13.479999999999999
1,4,13,9744,154308,29.615384615384617,23.161290322580644,9.975,49.189189189189186,53.44444444444444,1.825,14.25625
1,4,14,14380,217200,28.58974358974359,21.419354838709676,10.225,43.83783783783784,57.607142857142854,1.9649999999999999,14.818750000000001
1,4,15,11192,173144,28.358974358974358,29.548387096774192,9.25625,46.32432432432432,59.357142857142854,2.04,15.20625
1,4,16,10128,162784,29.923076923076923,23.129032258064516,7.034375,46.567567567567565,57.32142857142857,2.16,15.2375
1,4,17,10932,283272,34.717948717948715,19.322580645161292,6.128125,50.91891891891892,55.42857142857143,2.455,14.0125
1,4,18,10544,379664,43.76923076923077,20.258064516129032,7.00625,69.21621621621621,45.392857142857146,1.8900000000000001,12.63125
1,4,19,10316,157132,47.97435897435897,22.806451612903224,8.475,78.4054054054054,40.214285714285715,1.5699999999999998,11.9625
1,4,20,9360,126000,51.58974358974359,26.64516129032258,12.6,88.48648648648648,33.714285714285715,1.45,11.35625
1,4,21,6964,126536,52.53846153846154,31.806451612903224,15.815625,101.02702702702703,29.964285714285715,1.7550000000000001,10.8125
1,4,22,4872,73280,46.69230769230769,33.354838709677416,18.38125,87.45945945945945,31.607142857142858,2.09,10.2375
1,4,23,3944,58580,36.41025641025641,26.29032258064516,15.38125,49.86486486486486,35.607142857142854,2.4099999999999997,10.0
1,5,0,5052,86100,28.73913043478261,30.10810810810811,22.242105263157896,45.79545454545455,35.34285714285714,1.82,9.59
1,5,1,3328,110260,26.583333333333332,27.487179487179485,19.78,42.5,32.17142857142857,1.396,8.54
