codigo_estacion,hour,prestamos_mean,devol_mean,nearest_aq_station,dist_km,NO2,PM10,PM2_5
64,9,5.109589041095891,3.0246575342465754,46250043,1.3581866207585995,21.871148459383754,,
64,10,3.9068493150684933,3.0356164383561643,46250043,1.3581866207585995,17.720670391061454,,
64,11,3.915068493150685,3.4273972602739726,46250043,1.3581866207585995,14.358333333333333,,
64,12,3.6054794520547944,3.649315068493151,46250043,1.3581866207585995,12.274238227146814,,
64,13,3.8164383561643835,4.03013698630137,46250043,1.3581866207585995,10.893150684931507,,
64,14,4.375342465753425,5.912328767123288,46250043,1.3581866207585995,10.46027397260274,,
64,15,4.186301369863013,3.671232876712329,46250043,1.3581866207585995,10.194520547945206,,
64,16,4.035616438356165,4.008219178082192,46250043,1.3581866207585995,11.153424657534247,,
64,17,4.597260273972603,4.983561643835617,46250043,1.3581866207585995,13.810958904109588,,
64,18,4.734246575342466,5.53972602739726,46250043,1.3581866207585995,16.208219178082192,,
64,19,4.50958904109589,5.079452054794521,46250043,1.3581866207585995,17.99175824175824,,
64,20,3.4794520547945207,4.564383561643836,46250043,1.3581866207585995,19.203296703296704,,
64,21,2.9643835616438357,3.5342465753424657,46250043,1.3581866207585995,19.9010989010989,,
64,22,1.273972602739726,2.0931506849315067,46250043,1.3581866207585995,19.38736263736264,,
64,23,0.736986301369863,1.4,46250043,1.3581866207585995,17.936813186813186,,
65,0,0.821917808219178,1.936986301369863,46250043,1.5798760758065662,16.074175824175825,,
65,1,0.589041095890411,1.0,46250043,1.5798760758065662,14.225274725274724,,
65,2,0.34794520547945207,0.3643835616438356,46250043,1.5798760758065662,11.914835164835164,,
65,3,0.2273972602739726,0.3452054794520548,46250043,1.5798760758065662,10.848901098901099,,
65,4,0.17534246575342466,0.21643835616438356,46250043,1.5798760758065662,10.618131868131869,,
65,5,0.44931506849315067,0.26575342465753427,46250043,1.5798760758065662,13.08659217877095,,
65,6,0.9123287671232877,0.6712328767123288,46250043,1.5798760758065662,21.084985835694052,,
65,7,4.64931506849315,1.484931506849315,46250043,1.5798760758065662,26.68465909090909,,
65,8,6.054794520547945,2.8657534246575342,46250043,1.5798760758065662,26.03932584269663,,
65,9,5.164383561643835,4.983561643835617,46250043,1.5798760758065662,21.871148459383754,,
65,10,4.956164383561644,4.646575342465753,46250043,1.5798760758065662,17.720670391061454,,
65,11,5.953424657534247,5.331506849315068,46250043,1.5798760758065662,14.358333333333333,,
65,12,5.704109589041096,5.931506849315069,46250043,1.5798760758065662,12.274238227146814,,
65,13,5.580821917808219,5.745205479452054,46250043,1.5798760758065662,10.893150684931507,,
65,14,5.967123287671233,7.904109589041096,46250043,1.5798760758065662,10.46027397260274,,
65,15,6.331506849315068,5.49041095890411,46250043,1.5798760758065662,10.194520547945206,,
65,16,4.682191780821918,5.495890410958904,46250043,1.5798760758065662,11.153424657534247,,
65,17,5.778082191780822,6.36986301369863,46250043,1.5798760758065662,13.810958904109588,,
65,18,6.923287671232877,7.35068493150685,46250043,1.5798760758065662,16.208219178082192,,
65,19,6.789041095890411,6.917808219178082,46250043,1.5798760758065662,17.99175824175824,,
65,20,5.424657534246576,6.504109589041096,46250043,1.5798760758065662,19.203296703296704,,
65,21,4.961643835616439,4.693150684931507,46250043,1.5798760758065662,19.9010989010989,,
65,22,1.8273972602739725,2.978082191780822,46250043,1.5798760758065662,19.38736263736264,,
65,23,1.263013698630137,2.063013698630137,46250043,1.5798760758065662,17.936813186813186,,
66,0,0.5232876712328767,1.5753424657534247,46250047,1.540635421211981,13.221917808219178,22.202739726027396,11.465753424657533
66,1,0.29863013698630136,0.8657534246575342,46250047,1.540635421211981,12.317808219178081,21.13150684931507,11.252054794520548
66,2,0.21095890410958903,0.3726027397260274,46250047,1.540635421211981,10.813698630136987,19.2,10.545205479452054
66,3,0.1863013698630137,0.2465753424657534,46250047,1.540635421211981,10.161643835616438,18.898630136986302,10.139726027397261
66,4,0.12054794520547946,0.21095890410958903,46250047,1.540635421211981,9.695890410958905,18.616438356164384,10.164383561643836
66,5,0.14520547945205478,0.136986301369863,46250047,1.540635421211981,10.664835164835164,18.604395604395606,10.06868131868132
66,6,0.7616438356164383,0.4383561643835616,46250047,1.540635421211981,14.761363636363637,20.552706552706553,9.886931818181818
66,7,4.189041095890411,0.6958904109589041,46250047,1.540635421211981,20.418079096045197,28.36827195467422,9.916338028169015
66,8,6.5917808219178085,1.3726027397260274,46250047,1.540635421211981,22.105849582172702,35.91643454038997,10.4
66,9,4.789041095890411,2.5671232876712327,46250047,1.540635421211981,21.02754820936639,35.0414364640884,10.181818181818182
66,10,4.156164383561644,3.2684931506849315,46250047,1.540635421211981,17.804407713498623,32.6353591160221,9.84022038567493
66,11,4.5917808219178085,3.6794520547945204,46250047,1.540635421211981,14.843406593406593,29.59504132231405,9.291208791208792
66,12,4.331506849315068,4.424657534246576,46250047,1.540635421211981,13.23013698630137,27.810439560439562,8.63013698630137
66,13,3.8273972602739725,5.049315068493151,46250047,1.540635421211981,11.794520547945206,24.82191780821918,8.175342465753424
66,14,4.942465753424657,6.704109589041096,46250047,1.540635421211981,10.953424657534246,25.06027397260274,7.967123287671233
66,15,4.553424657534246,4.778082191780822,46250047,1.540635421211981,10.715068493150685,25.832876712328765,7.4301369863013695
66,16,4.1945205479452055,4.934246575342466,46250047,1.540635421211981,11.24931506849315,24.6,7.1808219178082195
66,17,5.254794520547946,5.734246575342466,46250047,1.540635421211981,12.687671232876712,24.221917808219178,7.265753424657534
66,18,5.4082191780821915,5.928767123287671,46250047,1.540635421211981,13.602739726027398,24.4,7.7534246575342465
