id;mes;dia_semana;tramo_horario;suma_numero_viajes;suma_duracion_total_viajes;suma_tiempo_medio_trayecto_mn;fecha_creacion;fecha_baja
681;Abril;Domingo;05H - 06H;752;26244;34.9;20034630;NA
682;Abril;Domingo;06H - 07H;832;11816;14.2;20034330;NA
683;Abril;Domingo;07H - 08H;1396;24512;17.56;20034030;NA
685;Abril;Domingo;09H - 10H;2920;60052;20.57;20033430;NA
687;Abril;Domingo;11H - 12H;5880;102500;17.43;20032830;NA
692;Abril;Domingo;16H - 17H;6732;119816;17.8;20031330;NA
696;Abril;Domingo;20H - 21H;6888;109136;15.84;20030130;NA
699;Abril;Domingo;23H - 24H;3716;65440;17.61;20029230;NA
705;Mayo;Lunes;03H - 04H;460;8488;18.45;20028030;NA
710;Mayo;Lunes;08H - 09H;20212;329348;16.29;20026530;NA
716;Mayo;Lunes;14H - 15H;23628;330524;13.99;20024730;NA
718;Mayo;Lunes;16H - 17H;17884;314204;17.57;20024130;NA
721;Mayo;Lunes;19H - 20H;21624;423304;19.58;20023230;NA
723;Mayo;Lunes;21H - 22H;13624;208620;15.31;20022630;NA
731;Mayo;Martes;04H - 05H;336;4400;13.1;20020530;NA
732;Mayo;Martes;05H - 06H;876;11716;13.37;20020230;NA
737;Mayo;Martes;10H - 11H;10624;239192;22.51;20018730;NA
741;Mayo;Martes;14H - 15H;20344;284712;13.99;20017530;NA
743;Mayo;Martes;16H - 17H;16184;302120;18.67;20016930;NA
746;Mayo;Martes;19H - 20H;19988;502196;25.12;20016030;NA
747;Mayo;Martes;20H - 21H;17120;288992;16.88;20015730;NA
748;Mayo;Martes;21H - 22H;11936;178840;14.98;20015430;NA
749;Mayo;Martes;22H - 23H;6988;118172;16.91;20015130;NA
755;Mayo;Miércoles;03H - 04H;280;4176;14.91;20013630;NA
758;Mayo;Miércoles;06H - 07H;2544;42184;16.58;20012730;NA
760;Mayo;Miércoles;08H - 09H;15924;254932;16.01;20012130;NA
761;Mayo;Miércoles;09H - 10H;11944;196932;16.49;20011830;NA
762;Mayo;Miércoles;10H - 11H;10224;212552;20.79;20011530;NA
769;Mayo;Miércoles;17H - 18H;15584;230932;14.82;20009430;NA
770;Mayo;Miércoles;18H - 19H;16920;287872;17.01;20009130;NA
774;Mayo;Miércoles;22H - 23H;6108;89684;14.68;20007930;NA
775;Mayo;Miércoles;23H - 24H;5184;87968;16.97;20007630;NA
777;Mayo;Jueves;00H - 01H;4360;72368;16.6;20007330;NA
781;Mayo;Jueves;04H - 05H;560;8168;14.59;20006130;NA
784;Mayo;Jueves;07H - 08H;11904;178532;15.0;20005230;NA
794;Mayo;Jueves;17H - 18H;16748;267112;15.95;20002230;NA
795;Mayo;Jueves;18H - 19H;18868;300488;15.93;20001930;NA
798;Mayo;Jueves;21H - 22H;12080;197468;16.35;20001030;NA
802;Mayo;Viernes;00H - 01H;5408;89376;16.53;20000130;NA
804;Mayo;Viernes;02H - 03H;1464;21020;14.36;19999530;NA
805;Mayo;Viernes;03H - 04H;1056;15884;15.04;19999230;NA
806;Mayo;Viernes;04H - 05H;796;11656;14.64;19998930;NA
807;Mayo;Viernes;05H - 06H;1000;13032;13.03;19998630;NA
810;Mayo;Viernes;08H - 09H;15096;247832;16.42;19997730;NA
811;Mayo;Viernes;09H - 10H;12412;205636;16.57;19997430;NA
812;Mayo;Viernes;10H - 11H;10436;290488;27.84;19997130;NA
819;Mayo;Viernes;17H - 18H;15528;403756;26.0;19995030;NA
821;Mayo;Viernes;19H - 20H;16436;345072;20.99;19994430;NA
823;Mayo;Viernes;21H - 22H;11740;176564;15.04;19993830;NA
827;Mayo;Sabado;00H - 01H;7308;119112;16.3;19992930;NA
828;Mayo;Sabado;01H - 02H;5012;100240;20.0;19992630;NA
830;Mayo;Sábado;03H - 04H;2812;59708;21.23;19992030;NA
837;Mayo;Sábado;10H - 11H;8228;122748;14.92;19989930;NA
838;Mayo;Sábado;11H - 12H;9952;324232;32.58;19989630;NA
840;Mayo;Sábado;13H - 14H;11160;254512;22.81;19989030;NA
841;Mayo;Sábado;14H - 15H;9500;186096;19.59;19988730;NA
842;Mayo;Sábado;15H - 16H;8552;170320;19.92;19988430;NA
846;Mayo;Sábado;19H - 20H;12788;258368;20.2;19987230;NA
847;Mayo;Sábado;20H - 21H;12808;205756;16.06;19986930;NA
848;Mayo;Sábado;21H - 22H;9392;215308;22.92;19986630;NA
849;Mayo;Sábado;22H - 23H;6568;102472;15.6;19986330;NA
856;Mayo;Domingo;04H - 05H;2740;59472;21.71;19984530;NA
857;Mayo;Domingo;05H - 06H;1448;28948;19.99;19984230;NA
863;Mayo;Domingo;11H - 12H;10052;216544;21.54;19982430;NA
866;Mayo;Domingo;14H - 15H;9940;196148;19.73;19981530;NA
868;Mayo;Domingo;16H - 17H;9800;197296;20.13;19980930;NA
880;Junio;Lunes;02H - 03H;1396;23444;16.79;19977930;NA
881;Junio;Lunes;03H - 04H;980;14200;14.49;19977630;NA
888;Junio;Lunes;10H - 11H;9416;172760;18.35;19975530;NA
890;Junio;Lunes;12H - 13H;10764;254576;23.65;19974930;NA
894;Junio;Lunes;16H - 17H;12960;189924;14.65;19973730;NA
897;Junio;Lunes;19H - 20H;17340;373072;21.52;19972830;NA
898;Junio;Lunes;20H - 21H;15948;265088;16.62;19972530;NA
907;Junio;Martes;04H - 05H;660;23756;35.99;19970130;NA
908;Junio;Martes;05H - 06H;1156;17528;15.16;19969830;NA
910;Junio;Martes;07H - 08H;11664;204496;17.53;19969230;NA
912;Junio;Martes;09H - 10H;12520;183376;14.65;19968630;NA
917;Junio;Martes;14H - 15H;16328;240196;14.71;19967130;NA
920;Junio;Martes;17H - 18H;13340;208184;15.61;19966230;NA
923;Junio;Martes;20H - 21H;13236;200624;15.16;19965330;NA
926;Junio;Martes;23H - 24H;5620;119932;21.34;19964430;NA
930;Junio;Miércoles;02H - 03H;1624;20788;12.8;19963530;NA
931;Junio;Miércoles;03H - 04H;1232;20368;16.53;19963230;NA
932;Junio;Miércoles;04H - 05H;980;13404;13.68;19962930;NA
937;Junio;Miércoles;09H - 10H;15236;228552;15.0;19961430;NA
939;Junio;Miércoles;11H - 12H;13592;315232;23.19;19960830;NA
940;Junio;Miércoles;12H - 13H;13316;836036;62.78;19960530;NA
941;Junio;Miércoles;13H - 14H;16452;446656;27.15;19960230;NA
944;Junio;Miércoles;16H - 17H;16720;343080;20.52;19959330;NA
945;Junio;Miércoles;17H - 18H;19084;331916;17.39;19959030;NA
946;Junio;Miércoles;18H - 19H;21572;569808;26.41;19958730;NA
948;Junio;Miércoles;20H - 21H;20972;336404;16.04;19958130;NA
949;Junio;Miércoles;21H - 22H;15972;249096;15.6;19957830;NA
950;Junio;Miércoles;22H - 23H;11132;241992;21.74;19957530;NA
954;Junio;Jueves;01H - 02H;3616;67468;18.66;19956630;NA
955;Junio;Jueves;02H - 03H;2012;35536;17.66;19956330;NA
956;Junio;Jueves;03H - 04H;1380;23072;16.72;19956030;NA
966;Junio;Jueves;13H - 14H;16408;534048;32.55;19953030;NA
974;Junio;Jueves;21H - 22H;15484;356180;23.0;19950630;NA
980;Junio;Viernes;02H - 03H;2548;107028;42.0;19949130;NA
984;Junio;Viernes;06H - 07H;2772;74168;26.76;19947930;NA
987;Junio;Viernes;09H - 10H;10244;240948;23.52;19947030;NA
991;Junio;Viernes;13H - 14H;12004;221848;18.48;19945830;NA
994;Junio;Viernes;16H - 17H;11184;171988;15.38;19944930;NA
997;Junio;Viernes;19H - 20H;14824;248816;16.78;19944030;NA
998;Junio;Viernes;20H - 21H;13952;218900;15.69;19943730;NA
1007;Junio;Sábado;04H - 05H;2388;55296;23.16;19941330;NA
1008;Junio;Sábado;05H - 06H;2188;31680;14.48;19941030;NA
1009;Junio;Sábado;06H - 07H;2016;39472;19.58;19940730;NA
1012;Junio;Sábado;09H - 10H;6808;171172;25.14;19939830;NA
1013;Junio;Sábado;10H - 11H;7496;143564;19.15;19939530;NA
1021;Junio;Sábado;18H - 19H;10532;181724;17.25;19937130;NA
1024;Junio;Sábado;21H - 22H;10752;192208;17.88;19936230;NA
1033;Junio;Domingo;05H - 06H;1488;23172;15.57;19933830;NA
1037;Junio;Domingo;09H - 10H;4528;76552;16.91;19932630;NA
1040;Junio;Domingo;12H - 13H;7888;164416;20.84;19931730;NA
1041;Junio;Domingo;13H - 14H;7344;132216;18.0;19931430;NA
1043;Junio;Domingo;15H - 16H;6488;119200;18.37;19930830;NA
1051;Junio;Domingo;23H - 24H;6188;101000;16.32;19928430;NA
1054;Julio;Lunes;00H - 01H;4848;82728;17.06;19928130;NA
1058;Julio;Lunes;04H - 05H;740;10300;13.92;19926930;NA
1062;Julio;Lunes;08H - 09H;12620;219624;17.4;19925730;NA
1064;Julio;Lunes;10H - 11H;9132;196884;21.56;19925130;NA
1065;Julio;Lunes;11H - 12H;8632;206544;23.93;19924830;NA
1067;Julio;Lunes;13H - 14H;10652;168656;15.83;19924230;NA
1068;Julio;Lunes;14H - 15H;12916;208064;16.11;19923930;NA
1069;Julio;Lunes;15H - 16H;12056;235344;19.52;19923630;NA
1070;Julio;Lunes;16H - 17H;10004;153908;15.38;19923330;NA
1085;Julio;Martes;06H - 07H;2520;91360;36.25;19919130;NA
1089;Julio;Martes;10H - 11H;8492;168924;19.89;19917930;NA
1091;Julio;Martes;12H - 13H;9184;296616;32.3;19917330;NA
1099;Julio;Martes;20H - 21H;12508;221372;17.7;19914930;NA
1101;Julio;Martes;22H - 23H;7748;149432;19.29;19914330;NA
1104;Julio;Miercoles;00H - 01H;4976;88892;17.86;19913730;NA
1106;Julio;Miércoles;02H - 03H;1440;21064;14.63;19913130;NA
1107;Julio;Miércoles;03H - 04H;952;16056;16.87;19912830;NA
1110;Julio;Miércoles;06H - 07H;2616;44204;16.9;19911930;NA
1113;Julio;Miércoles;09H - 10H;11060;194320;17.57;19911030;NA
1118;Julio;Miércoles;14H - 15H;13232;192836;14.57;19909530;NA
1119;Julio;Miércoles;15H - 16H;11756;195520;16.63;19909230;NA
1131;Julio;Jueves;02H - 03H;1472;25320;17.2;19905930;NA
1132;Julio;Jueves;03H - 04H;1204;20848;17.32;19905630;NA
1140;Julio;Jueves;11H - 12H;9020;235344;26.09;19903230;NA
1141;Julio;Jueves;12H - 13H;9516;467972;49.18;19902930;NA
1143;Julio;Jueves;14H - 15H;13116;223336;17.03;19902330;NA
1144;Julio;Jueves;15H - 16H;11452;186032;16.24;19902030;NA
1154;Julio;Viernes;00H - 01H;7672;177404;23.12;19899330;NA
1159;Julio;Viernes;05H - 06H;1952;27956;14.32;19897830;NA
1160;Julio;Viernes;06H - 07H;3440;98464;28.62;19897530;NA
1167;Julio;Viernes;13H - 14H;13460;276708;20.56;19895430;NA
1168;Julio;Viernes;14H - 15H;17296;346692;20.04;19895130;NA
1170;Julio;Viernes;16H - 17H;12716;266716;20.97;19894530;NA
1172;Julio;Viernes;18H - 19H;14768;549052;37.18;19893930;NA
1173;Julio;Viernes;19H - 20H;16412;337228;20.55;19893630;NA
1182;Julio;Sábado;03H - 04H;3232;79148;24.49;19891230;NA
1187;Julio;Sábado;08H - 09H;4940;88244;17.86;19889730;NA
1196;Julio;Sábado;17H - 18H;9544;206400;21.63;19887030;NA
1201;Julio;Sábado;22H - 23H;8640;176404;20.42;19885530;NA
1202;Julio;Sábado;23H - 24H;7644;163092;21.34;19885230;NA
1204;Julio;Domingo;00H - 01H;7896;136164;17.24;19884930;NA
1206;Julio;Domingo;02H - 03H;4036;66724;16.53;19884330;NA
1207;Julio;Domingo;03H - 04H;3664;109256;29.82;19884030;NA
1210;Julio;Domingo;06H - 07H;1712;27276;15.93;19883130;NA
1212;Julio;Domingo;08H - 09H;3644;57972;15.91;19882530;NA
1213;Julio;Domingo;09H - 10H;4924;84404;17.14;19882230;NA
1216;Julio;Domingo;12H - 13H;6564;152028;23.16;19881330;NA
1219;Julio;Domingo;15H - 16H;6752;134164;19.87;19880430;NA
1220;Julio;Domingo;16H - 17H;7668;156236;20.38;19880130;NA
1225;Julio;Domingo;21H - 22H;10108;186556;18.46;19878630;NA
1230;Agosto;Lunes;00H - 01H;6060;101096;16.68;19877730;NA
1238;Agosto;Lunes;08H - 09H;9324;228820;24.54;19875330;NA
